batch,priority,part,code,title,action,expected_width,expected_height,actual_width,actual_height,exists,dimension_ok,filename_ok,status,note,output_abs
01,A,1,P1-F32,자산·위협·취약점·통제·위험 관계,전면 재생성,2048,1136,2048,1136,True,True,True,1차검수 통과,"출력 크기·파일명 자동검증 통과, 접촉시트 육안 확인",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F32.png
01,A,1,P1-F52,시스템 분석 도구 분류 지도,전면 재생성,2048,1136,2048,1136,True,True,True,1차검수 통과,"출력 크기·파일명 자동검증 통과, 접촉시트 육안 확인",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F52.png
01,A,2,P2-F02,OSI 7계층과 TCP/IP 계층 대응,전면 재생성,2848,1504,2848,1504,True,True,True,1차검수 통과,"출력 크기·파일명 자동검증 통과, 접촉시트 육안 확인",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F02.png
01,A,2,P2-F10,STP 루프 방지,전면 재생성,2848,1504,2848,1504,True,True,True,1차검수 통과,"출력 크기·파일명 자동검증 통과, 접촉시트 육안 확인",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F10.png
01,A,2,P2-F20,DHCP DORA와 공격면,전면 재생성,1600,850,1600,850,True,True,True,1차검수 통과,"출력 크기·파일명 자동검증 통과, 접촉시트 육안 확인",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F20.png
01,A,2,P2-F31,WEP에서 WPA3까지 무선 보안 발전,전면 재생성,1600,850,1600,850,True,True,True,1차검수 통과,"출력 크기·파일명 자동검증 통과, 접촉시트 육안 확인",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F31.png
01,A,2,P2-F32,802.1X·EAP·RADIUS 인증 흐름,전면 재생성,1600,850,1600,850,True,True,True,1차검수 통과,"출력 크기·파일명 자동검증 통과, 접촉시트 육안 확인",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F32.png
01,A,2,P2-F41,TCP·UDP 스캔 응답 매트릭스,전면 재생성,1600,850,1600,850,True,True,True,1차검수 통과,"출력 크기·파일명 자동검증 통과, 접촉시트 육안 확인",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F41.png
01,A,2,P2-F51,방화벽·DMZ 구축 유형,전면 재생성,1600,850,1600,850,True,True,True,1차검수 통과,"출력 크기·파일명 자동검증 통과, 접촉시트 육안 확인",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F51.png
01,A,2,P2-F61,TLS 1.3 핸드셰이크와 보호 범위,전면 재생성,1600,850,1600,850,True,True,True,1차검수 통과,"출력 크기·파일명 자동검증 통과, 접촉시트 육안 확인",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F61.png
