batch,code,actual_width,actual_height,dimension_ok,visual_status,final_source,current_location
04-final,P3-F60,1800,1004,True,??,local_text_fix,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F60.png
04-final,P3-F61,1800,1004,True,??,local_text_fix,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F61.png
04-final,P3-F66,1800,1004,True,??,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F66.png
04-final,P3-F13,1800,1004,True,??,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F13.png
04-final,P3-F24,1800,1004,True,??,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F24.png
04-final,P3-F31,1800,1004,True,??,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F31.png
04-final,P3-F42,1800,1004,True,??,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F42.png
04-final,P4-F11,1600,893,True,??,local_text_fix,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F11.png
04-final,P4-F13,1600,893,True,??,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F13.png
04-final,P4-F24,1600,893,True,??,local_text_fix,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F24.png
