batch,code,title,action,model,expected_width,expected_height,actual_width,actual_height,dimension_ok,output_abs,response_json,status,note
08,P2-F64,AH·ESP와 Transport·Tunnel 모드,부분 수정,gemini-3.1-flash-image,1600,850,1600,850,True,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F64.png,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch08_P2-F64.json,크기검증 통과,Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤
08,P3-F28,입력·출력·상태 경계 공격 지도,부분 수정,gemini-3.1-flash-image,1800,1004,1800,1004,True,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F28.png,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch08_P3-F28.json,크기검증 통과,Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤
08,P3-F55,DB 감사·백업·복구,부분 수정,gemini-3.1-flash-image,1800,1004,1800,1004,True,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F55.png,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch08_P3-F55.json,크기검증 통과,Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤
08,P3-F68,입력검증·출력인코딩·인증·세션 보안,부분 수정,gemini-3.1-flash-image,1800,1004,1800,1004,True,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F68.png,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch08_P3-F68.json,크기검증 통과,Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤
08,P4-F75,서명·디지털봉투 결합 보안메시지,부분 수정,gemini-3.1-flash-image,1600,893,1600,893,True,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F75.png,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch08_P4-F75.json,크기검증 통과,Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤
08,P5-F40,연계보관성 Chain of Custody,부분 수정,gemini-3.1-flash-image,1600,893,1600,893,True,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F40.png,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch08_P5-F40.json,크기검증 통과,Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤
08,P1-F42,파일·명령 실행 취약점 비교,부분 수정,gemini-3.1-flash-image,2048,1136,2048,1136,True,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F42.png,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch08_P1-F42.json,크기검증 통과,Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤
08,P2-F05,Ethernet 프레임과 MAC 주소,부분 수정,gemini-3.1-flash-image,2816,1536,2816,1536,True,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F05.png,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch08_P2-F05.json,크기검증 통과,Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤
08,P3-F01,애플리케이션보안 출제범위 전체 지도,부분 수정,gemini-3.1-flash-image,1800,1004,1800,1004,True,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F01.png,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch08_P3-F01.json,크기검증 통과,Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤
08,P3-F02,애플리케이션 신뢰경계와 데이터 흐름,부분 수정,gemini-3.1-flash-image,1800,1004,1800,1004,True,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F02.png,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch08_P3-F02.json,크기검증 통과,Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤
