code,part,batch,title,model,source_path,output_path,response_json,expected_width,expected_height,actual_width,actual_height,dimension_ok,status,note
P1-F32,1,01,자산·위협·취약점·통제·위험 관계,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part1\P1-F32.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F32.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P1-F32.json,2048,1136,2048,1136,True,OK,Regenerated from non-Nano-Banana style classification.
P1-F52,1,01,시스템 분석 도구 분류 지도,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part1\P1-F52.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F52.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P1-F52.json,2048,1136,2048,1136,True,OK,Regenerated from non-Nano-Banana style classification.
P2-F14,2,07,서브넷팅·CIDR·VLSM,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F14.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F14.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P2-F14.json,1600,850,1600,850,True,OK,Regenerated from non-Nano-Banana style classification.
P2-F18,2,07,IPv6 NDP와 전환 기술,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F18.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F18.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P2-F18.json,1600,850,1600,850,True,OK,Regenerated from non-Nano-Banana style classification.
P2-F20,2,01,DHCP DORA와 공격면,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F20.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F20.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P2-F20.json,1600,850,1600,850,True,OK,Regenerated from non-Nano-Banana style classification.
P2-F21,2,07,ICMP·IGMP와 전송 범위,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\02_부분수정\Part2\P2-F21.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F21.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P2-F21.json,1600,850,1600,850,True,OK,Regenerated from non-Nano-Banana style classification.
P2-F31,2,01,WEP에서 WPA3까지 무선 보안 발전,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F31.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F31.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P2-F31.json,1600,850,1600,850,True,OK,Regenerated from non-Nano-Banana style classification.
P2-F32,2,01,802.1X·EAP·RADIUS 인증 흐름,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F32.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F32.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P2-F32.json,1600,850,1600,850,True,OK,Regenerated from non-Nano-Banana style classification.
P2-F33,2,07,무선 공격과 대응 지도,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\02_부분수정\Part2\P2-F33.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F33.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P2-F33.json,1600,850,1600,850,True,OK,Regenerated from non-Nano-Banana style classification.
P2-F41,2,01,TCP·UDP 스캔 응답 매트릭스,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F41.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F41.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P2-F41.json,1600,850,1600,850,True,OK,Regenerated from non-Nano-Banana style classification.
P2-F51,2,01,방화벽·DMZ 구축 유형,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F51.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F51.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P2-F51.json,1600,850,1600,850,True,OK,Regenerated from non-Nano-Banana style classification.
P2-F61,2,01,TLS 1.3 핸드셰이크와 보호 범위,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F61.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F61.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\style_regeneration_responses\P2-F61.json,1600,850,1600,850,True,OK,Regenerated from non-Nano-Banana style classification.
