"priority","part","code","title","action","source_width","source_height","actual_width","actual_height","source_ok","dimension_ok","input_abs","output_abs","workpack_source","output_filename","title_policy","issue","required_correction"
"A","1","P1-F32","자산·위협·취약점·통제·위험 관계","전면 재생성","2048","1136","2048","1136","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part1\P1-F32.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F32.png","01_전면재생성/Part1/P1-F32.png","P1-F32.png","내부 전체 제목 1개 유지, 그림 코드 금지","자산·취약점·통제의 화살표가 인과관계를 반대로 읽히게 한다.","`위협원 → 취약점 악용 → 공격/사건 → 영향/손실`을 주 흐름으로, 통제는 취약점·가능성·영향을 낮추는 방향으로 재구성. `위험=가능성×영향`, `잔여위험` 표시."
"A","1","P1-F52","시스템 분석 도구 분류 지도","전면 재생성","2048","1136","2048","1136","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part1\P1-F52.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F52.png","01_전면재생성/Part1/P1-F52.png","P1-F52.png","내부 전체 제목 1개 유지, 그림 코드 금지","도구 분류가 혼재되어 패킷·로그·취약점·무결성 도구의 역할을 잘못 학습할 수 있다.","`호스트·포트`, `취약점 스캐너`, `파일 무결성`, `패킷·IDS`, `로그·SIEM`, `프로세스·루트킷`, `악성코드 분석` 7분류로 재구성하고 도구 역할을 올바르게 배치."
"A","2","P2-F02","OSI 7계층과 TCP/IP 계층 대응","전면 재생성","2848","1504","2848","1504","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F02.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F02.png","01_전면재생성/Part2/P2-F02.png","P2-F02.png","내부 전체 제목·그림 코드 금지","Repeater·Hub를 Switch와 함께 L2로 묶어 계층 대응이 틀렸다.","OSI↔TCP/IP 대응을 다시 그리고 장비는 L1 Repeater/Hub, L2 Bridge/Switch, L3 Router/L3 Switch, L4 Load Balancer, L7 Proxy/WAF로 분리."
"A","2","P2-F10","STP 루프 방지","전면 재생성","2848","1504","2848","1504","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F10.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F10.png","01_전면재생성/Part2/P2-F10.png","P2-F10.png","내부 전체 제목·그림 코드 금지","Root Bridge에 Root Port가 있는 것으로 표시되고, 중복 링크 양쪽을 모두 차단한 것으로 보여 STP 역할이 틀렸다.","Root Bridge에는 Root Port가 없고 모든 포트가 Designated/Forwarding임을 표시. 비루트 스위치는 각 1개 Root Port, 중복 세그먼트는 한쪽 Designated/Forwarding·다른 쪽 Alternate/Discarding."
"A","2","P2-F20","DHCP DORA와 공격면","전면 재생성","1600","850","1600","850","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F20.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F20.png","01_전면재생성/Part2/P2-F20.png","P2-F20.png","내부 전체 제목·그림 코드 금지","DORA 단계의 방향과 정상·공격 흐름이 교차해 절차가 잘못 읽힌다.","Discover C→S, Offer S→C, Request C→S, ACK S→C를 한 줄로 명확히 표시하고 Starvation/Rogue DHCP/DHCP Snooping은 별도 패널."
"A","2","P2-F31","WEP에서 WPA3까지 무선 보안 발전","전면 재생성","1600","850","1600","850","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F31.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F31.png","01_전면재생성/Part2/P2-F31.png","P2-F31.png","내부 전체 제목·그림 코드 금지","WPA 계열의 개인용·기업용 인증, 키 관리, 데이터 보호가 혼재하고 SAE 적용 범위가 잘못 읽힌다.","WEP/WPA/WPA2/WPA3를 개인용 인증·기업용 인증·데이터 보호·현재 판단으로 분리. SAE=WPA3-Personal, Enterprise=802.1X/EAP, WPA3 PMF 필수."
"A","2","P2-F32","802.1X·EAP·RADIUS 인증 흐름","전면 재생성","1600","850","1600","850","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F32.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F32.png","01_전면재생성/Part2/P2-F32.png","P2-F32.png","내부 전체 제목·그림 코드 금지","EAP Challenge/Response 왕복과 최종 Access-Accept 전 포트 개방 시점이 지나치게 단순화되었다.","Supplicant–Authenticator–RADIUS 사이 EAP Challenge/Response 왕복을 표시하고 최종 Access-Accept/EAP-Success 이후 Controlled Port와 VLAN/ACL을 허용."
"A","2","P2-F41","TCP·UDP 스캔 응답 매트릭스","전면 재생성","1600","850","1600","850","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F41.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F41.png","01_전면재생성/Part2/P2-F41.png","P2-F41.png","내부 전체 제목·그림 코드 금지","ACK Scan을 open/closed 판별처럼 보이게 하여 스캔 응답 의미가 틀렸다.","ACK Scan은 open/closed 구분 불가, RST=unfiltered, 무응답/ICMP=filtered로 표시. SYN/Connect/FIN-NULL-Xmas/UDP 결과도 표준 응답으로 정리."
"A","2","P2-F51","방화벽·DMZ 구축 유형","전면 재생성","1600","850","1600","850","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F51.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F51.png","01_전면재생성/Part2/P2-F51.png","P2-F51.png","내부 전체 제목·그림 코드 금지","Dual-Homed·Screened Host·Screened Subnet의 배치 구조가 표준 개념과 다르다.","Dual-Homed Host=두 NIC Bastion/Proxy, Screened Host=Screening Router+내부측 Bastion, Screened Subnet=두 필터링 지점이 DMZ 생성으로 재구성."
"A","2","P2-F61","TLS 1.3 핸드셰이크와 보호 범위","전면 재생성","1600","850","1600","850","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F61.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F61.png","01_전면재생성/Part2/P2-F61.png","P2-F61.png","내부 전체 제목·그림 코드 금지","TLS 1.3의 EncryptedExtensions와 ServerHello 이후 핸드셰이크 보호 시작점이 빠졌다.","ClientHello→ServerHello 후 핸드셰이크 키 보호 시작, EncryptedExtensions→Certificate→CertificateVerify→Server Finished→Client Finished→Application Data 순서."
